
#I[mA]	#dI	#P[uW]	#dP

77.9	0.1	4800	240
75.4	0.1	4300	215
72.8	0.1	3770	189
69.2	0.1	3020	151
66.3	0.1	2439	122
63.6	0.1	1902	95
60.0	0.1	1178	59
57.9	0.1	734	37
56.4	0.1	488	24
55.6	0.1	276	14
54.2	0.1	112.2	5.6
52.8	0.1	71.2	3.56
49.2	0.1	45.0	2.25
44.8	0.1	32.7	1.6
39.6	0.1	24.23	1.2
36.7	0.1	20.70	1.035
32.8	0.1	16.91	0.84
25.2	0.1	11.23	0.56
