3/11/2021 4:38:58 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
186.930   16.016
186.940   16.243
186.949   16.323
186.959   16.495
186.969   16.571
186.978   16.843
186.988   17.085
186.998   17.151
187.008   17.345
187.017   17.668
187.027   17.770
187.037   17.905
187.047   18.086
187.056   18.298
187.066   18.521
187.076   18.735
187.085   18.849
187.095   19.168
187.105   19.455
187.115   19.483
187.124   19.801
187.134   19.967
187.144   20.280
187.153   20.455
187.163   20.778
187.173   20.952
187.183   21.165
187.192   21.471
187.202   21.707
187.212   21.944
187.222   22.188
187.231   22.448
187.241   22.774
187.251   23.048
187.260   23.319
187.270   23.659
187.280   23.859
187.290   24.116
187.299   24.504
187.309   24.802
187.319   25.038
187.328   25.429
187.338   25.700
187.348   25.987
187.358   26.319
187.367   26.812
187.377   27.093
187.387   27.440
187.397   27.900
187.406   28.259
187.416   28.655
187.426   29.032
187.435   29.453
187.445   29.843
187.455   30.343
187.465   30.750
187.474   31.229
187.484   31.774
187.494   32.119
187.504   32.975
187.513   33.186
187.523   34.025
187.533   34.401
187.542   35.124
187.552   35.751
187.562   36.416
187.572   37.042
187.581   37.782
187.591   38.560
187.601   39.311
187.610   40.168
187.620   41.066
187.630   41.944
187.640   42.900
187.649   43.924
187.659   45.002
187.669   46.108
187.679   47.294
187.688   48.532
187.698   49.874
187.708   51.317
187.717   52.791
187.727   54.408
187.737   56.113
187.747   57.919
187.756   59.864
187.766   61.890
187.776   64.111
187.785   66.388
187.795   68.875
187.805   71.503
187.815   74.286
187.824   77.242
187.834   80.374
187.844   83.619
187.854   87.039
187.863   90.603
187.873   94.333
187.883   98.159
187.892   102.101
187.902   106.116
187.912   110.181
187.922   114.186
187.931   118.181
187.941   122.146
187.951   125.981
187.961   129.673
187.970   133.184
187.980   136.521
187.990   139.657
187.999   142.575
188.009   145.284
188.019   147.796
188.029   150.092
188.038   152.251
188.048   154.229
188.058   156.074
188.067   157.755
188.077   159.356
188.087   160.806
188.097   162.157
188.106   163.428
188.116   164.625
188.126   165.758
188.136   166.788
188.145   167.758
188.155   168.728
188.165   169.550
188.174   170.386
188.184   171.190
188.194   171.942
188.204   172.597
188.213   173.272
188.223   173.878
188.233   174.482
188.243   175.085
188.252   175.607
188.262   176.100
188.272   176.594
188.281   177.066
188.291   177.521
188.301   177.912
188.311   178.378
188.320   178.755
188.330   179.152
188.340   179.519
188.349   179.928
188.359   -179.991
188.369   -179.633
188.379   -179.287
188.388   -179.019
188.398   -178.727
188.408   -178.373
188.418   -178.225
188.427   -177.845
188.437   -177.608
188.447   -177.333
188.456   -177.117
188.466   -176.878
188.476   -176.660
188.486   -176.503
188.495   -176.245
188.505   -176.074
188.515   -175.930
188.524   -175.718
188.534   -175.473
188.544   -175.330
188.554   -175.054
188.563   -174.902
188.573   -174.726
