3/10/2021 10:00:23 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   47.965
183.118   47.403
183.128   46.724
183.138   47.038
183.147   46.087
183.157   46.664
183.167   45.978
183.177   46.351
183.186   46.137
183.196   45.103
183.206   45.497
183.215   45.174
183.225   45.071
183.235   44.621
183.245   45.357
183.254   44.112
183.264   44.274
183.274   44.713
183.284   44.375
183.293   44.077
183.303   43.668
183.313   43.676
183.322   42.421
183.332   44.437
183.342   42.695
183.352   42.028
183.361   42.708
183.371   41.874
183.381   42.083
183.390   41.406
183.400   41.380
183.410   41.760
183.420   41.176
183.429   40.833
183.439   40.283
183.449   39.906
183.459   40.378
183.468   40.137
183.478   39.531
183.488   40.378
183.497   40.320
183.507   39.608
183.517   39.005
183.527   38.915
183.536   38.526
183.546   39.299
183.556   38.144
183.566   37.922
183.575   37.668
183.585   36.938
183.595   37.374
183.604   36.678
183.614   36.395
183.624   37.028
183.634   35.860
183.643   36.365
183.653   36.210
183.663   35.723
183.672   35.417
183.682   35.337
183.692   35.223
183.702   35.171
183.711   34.886
183.721   34.290
183.731   33.857
183.741   33.770
183.750   32.937
183.760   33.495
183.770   33.604
183.779   32.811
183.789   31.424
183.799   32.777
183.809   31.493
183.818   30.946
183.828   30.568
183.838   29.985
183.847   30.308
183.857   29.629
183.867   29.774
183.877   29.054
183.886   27.903
183.896   28.028
183.906   27.936
183.916   27.904
183.925   27.523
183.935   26.601
183.945   26.181
183.954   24.428
183.964   25.723
183.974   24.861
183.984   23.421
183.993   24.420
184.003   23.453
184.013   23.010
184.023   23.966
184.032   21.616
184.042   21.288
184.052   20.961
184.061   21.131
184.071   19.783
184.081   19.796
184.091   19.546
184.100   18.877
184.110   18.021
184.120   17.970
184.129   17.104
184.139   16.755
184.149   16.617
184.159   15.505
184.168   14.931
184.178   14.700
184.188   12.882
184.198   14.529
184.207   12.120
184.217   12.398
184.227   11.883
184.236   11.131
184.246   10.558
184.256   8.917
184.266   9.619
184.275   9.456
184.285   8.267
184.295   7.870
184.304   7.297
184.314   6.134
184.324   6.378
184.334   5.779
184.343   5.658
184.353   4.955
184.363   3.837
184.373   3.579
184.382   3.098
184.392   2.927
184.402   0.795
184.411   1.677
184.421   0.636
184.431   1.218
184.441   -0.269
184.450   0.330
184.460   -0.608
184.470   0.268
184.480   -0.384
184.489   -0.129
184.499   -0.673
184.509   0.009
184.518   -0.938
184.528   -0.980
184.538   -1.710
184.548   -1.441
184.557   -2.046
184.567   -2.581
184.577   -2.864
184.586   -2.560
184.596   -3.345
184.606   -2.776
184.616   -3.139
184.625   -3.396
184.635   -3.653
184.645   -3.764
184.655   -3.778
184.664   -4.095
184.674   -4.091
184.684   -3.923
184.693   -4.066
184.703   -4.547
184.713   -4.396
184.723   -4.037
184.732   -4.243
184.742   -4.341
184.752   -4.574
184.761   -4.454
184.771   -4.409
184.781   -3.291
184.791   -3.935
184.800   -4.213
184.810   -4.099
184.820   -3.742
184.830   -3.642
184.839   -3.457
184.849   -3.184
184.859   -3.142
184.868   -2.687
184.878   -3.062
184.888   -2.491
184.898   -2.348
184.907   -2.176
184.917   -2.170
184.927   -1.703
184.937   -1.251
184.946   -1.311
184.956   -1.458
184.966   -1.219
184.975   -0.660
184.985   -1.136
184.995   -0.463
185.005   -0.602
185.014   -0.015
185.024   -0.026
185.034   -0.002
185.043   0.169
185.053   -0.053
185.063   0.272
185.073   0.624
185.082   0.942
185.092   1.163
185.102   1.557
185.112   1.537
185.121   1.880
185.131   1.841
185.141   2.793
185.150   3.057
185.160   3.207
185.170   3.219
185.180   3.714
185.189   4.383
185.199   4.217
185.209   4.265
185.218   4.748
185.228   4.787
185.238   5.065
185.248   5.645
185.257   5.476
185.267   5.950
185.277   5.794
185.287   6.266
185.296   6.463
185.306   6.930
185.316   7.202
185.325   7.429
185.335   7.909
185.345   7.858
185.355   8.061
185.364   8.526
185.374   8.924
185.384   8.912
185.394   9.293
185.403   9.648
185.413   9.627
185.423   10.006
185.432   10.279
185.442   10.596
185.452   10.926
185.462   10.968
185.471   11.092
185.481   11.556
185.491   11.682
185.500   11.741
185.510   12.354
185.520   12.359
185.530   12.322
185.539   13.071
185.549   12.963
185.559   13.182
185.569   13.809
185.578   13.661
185.588   13.788
185.598   14.269
185.607   14.484
185.617   14.509
185.627   14.953
185.637   15.068
185.646   15.109
185.656   15.622
185.666   15.559
185.676   15.826
185.685   16.020
185.695   16.151
185.705   16.568
185.714   16.588
185.724   16.867
185.734   17.098
185.744   17.128
185.753   17.486
185.763   17.651
185.773   17.756
185.782   17.817
185.792   18.213
185.802   18.230
185.812   18.415
185.821   18.725
185.831   18.584
185.841   19.230
185.851   19.204
185.860   19.391
185.870   19.549
185.880   19.846
185.889   19.841
185.899   20.050
185.909   20.084
185.919   20.246
185.928   20.508
185.938   20.779
185.948   21.013
185.957   20.997
185.967   21.136
185.977   21.212
185.987   21.436
185.996   21.842
186.006   21.684
186.016   22.122
186.026   22.217
186.035   22.457
186.045   22.432
186.055   22.389
186.064   22.830
186.074   22.941
186.084   22.982
186.094   23.160
186.103   23.230
186.113   23.277
186.123   23.629
186.133   23.510
186.142   23.921
186.152   24.043
186.162   24.343
186.171   24.187
186.181   24.302
186.191   24.666
186.201   24.767
186.210   24.793
186.220   24.930
186.230   24.944
186.239   25.183
186.249   25.341
186.259   25.508
186.269   25.507
186.278   25.800
186.288   25.841
186.298   25.938
186.308   25.901
186.317   26.146
186.327   26.233
186.337   26.455
186.346   26.595
186.356   26.711
186.366   26.797
186.376   27.047
186.385   27.077
186.395   27.159
186.405   27.404
186.414   27.412
186.424   27.499
186.434   27.478
186.444   27.777
186.453   27.788
186.463   27.846
186.473   28.131
186.483   28.084
186.492   28.283
186.502   28.300
186.512   28.498
186.521   28.625
186.531   28.693
186.541   28.874
186.551   28.776
186.560   29.210
186.570   29.242
186.580   29.184
186.590   29.335
186.599   29.665
186.609   29.610
186.619   29.859
186.628   29.855
186.638   29.907
186.648   29.889
186.658   30.133
186.667   30.200
186.677   30.357
186.687   30.507
186.696   30.497
186.706   30.716
186.716   30.696
186.726   30.921
186.735   30.914
186.745   31.170
186.755   31.255
186.765   31.348
186.774   31.474
186.784   31.571
186.794   31.481
186.803   31.762
186.813   31.979
186.823   31.893
186.833   32.043
186.842   32.184
186.852   32.259
186.862   32.461
186.871   32.518
186.881   32.639
186.891   32.747
186.901   32.859
186.910   33.028
186.920   33.108
186.930   33.217
186.940   33.370
186.949   33.497
186.959   33.697
186.969   33.729
186.978   33.823
186.988   33.955
186.998   33.953
187.008   34.169
187.017   34.357
187.027   34.408
187.037   34.643
187.047   34.744
187.056   34.877
187.066   35.045
187.076   35.088
187.085   35.287
187.095   35.449
187.105   35.625
187.115   35.705
187.124   35.922
187.134   36.131
187.144   36.132
187.153   36.368
187.163   36.482
187.173   36.680
187.183   36.795
187.192   36.977
187.202   37.100
187.212   37.400
187.222   37.491
187.231   37.718
187.241   37.961
187.251   38.066
187.260   38.328
187.270   38.540
187.280   38.686
187.290   38.896
187.299   39.073
187.309   39.361
187.319   39.574
187.328   39.842
187.338   40.100
187.348   40.393
187.358   40.661
187.367   40.916
187.377   41.229
187.387   41.564
187.397   41.846
187.406   42.175
187.416   42.553
187.426   42.891
187.435   43.179
187.445   43.598
187.455   44.042
187.465   44.407
187.474   44.760
187.484   45.156
187.494   45.538
187.504   46.099
187.513   47.192
187.523   47.219
187.533   47.897
187.542   48.483
187.552   49.187
187.562   49.823
187.572   50.511
187.581   51.228
187.591   51.982
187.601   52.844
187.610   53.727
187.620   54.634
187.630   55.602
187.640   56.667
187.649   57.746
187.659   58.949
187.669   60.193
187.679   61.537
187.688   62.930
187.698   64.440
187.708   66.086
187.717   67.816
187.727   69.647
187.737   71.644
187.747   73.733
187.756   75.978
187.766   78.382
187.776   80.916
187.785   83.640
187.795   86.501
187.805   89.535
187.815   92.722
187.824   96.097
187.834   99.624
187.844   103.275
187.854   107.091
187.863   110.993
187.873   114.954
187.883   118.988
187.892   123.000
187.902   127.005
187.912   130.931
187.922   134.757
187.931   138.430
187.941   141.955
187.951   145.270
187.961   148.411
187.970   151.302
187.980   154.001
187.990   156.515
187.999   158.834
188.009   160.933
188.019   162.900
188.029   164.707
188.038   166.389
188.048   167.939
188.058   169.379
188.067   170.718
188.077   171.954
188.087   173.135
188.097   174.249
188.106   175.212
188.116   176.242
188.126   177.085
188.136   177.960
188.145   178.778
188.155   179.499
188.165   -179.886
188.174   -179.227
188.184   -178.559
188.194   -177.974
188.204   -177.407
188.213   -176.852
