3/10/2021 9:51:00 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   48.572
183.118   48.710
183.128   48.127
183.138   47.528
183.147   47.314
183.157   47.540
183.167   48.004
183.177   47.787
183.186   47.159
183.196   47.755
183.206   47.191
183.215   46.552
183.225   46.237
183.235   47.221
183.245   46.302
183.254   45.679
183.264   45.192
183.274   46.564
183.284   45.430
183.293   44.959
183.303   45.251
183.313   44.801
183.322   44.106
183.332   43.873
183.342   44.130
183.352   43.648
183.361   43.485
183.371   44.061
183.381   42.333
183.390   43.191
183.400   43.562
183.410   42.957
183.420   42.369
183.429   42.818
183.439   42.023
183.449   42.220
183.459   41.640
183.468   41.570
183.478   40.344
183.488   39.236
183.497   40.086
183.507   39.163
183.517   40.121
183.527   40.167
183.536   39.747
183.546   38.181
183.556   38.611
183.566   39.430
183.575   38.067
183.585   38.171
183.595   38.237
183.604   38.879
183.614   37.178
183.624   36.284
183.634   36.417
183.643   36.733
183.653   35.442
183.663   36.744
183.672   35.481
183.682   35.245
183.692   34.634
183.702   36.242
183.711   33.607
183.721   35.103
183.731   32.666
183.741   33.639
183.750   33.506
183.760   33.620
183.770   31.806
183.779   31.420
183.789   30.754
183.799   32.317
183.809   30.640
183.818   30.558
183.828   29.768
183.838   29.144
183.847   29.457
183.857   29.435
183.867   29.006
183.877   27.947
183.886   27.853
183.896   28.017
183.906   26.459
183.916   26.586
183.925   27.622
183.935   25.816
183.945   25.525
183.954   25.608
183.964   23.573
183.974   24.243
183.984   23.350
183.993   23.028
184.003   22.554
184.013   21.723
184.023   22.008
184.032   21.423
184.042   21.812
184.052   19.710
184.061   19.940
184.071   19.159
184.081   18.340
184.091   18.705
184.100   17.899
184.110   16.940
184.120   18.126
184.129   15.996
184.139   15.308
184.149   15.159
184.159   15.468
184.168   13.753
184.178   13.189
184.188   12.460
184.198   12.046
184.207   11.561
184.217   11.658
184.227   10.496
184.236   10.113
184.246   9.815
184.256   8.482
184.266   9.197
184.275   7.843
184.285   7.495
184.295   7.097
184.304   5.955
184.314   6.053
184.324   6.718
184.334   5.074
184.343   4.788
184.353   3.871
184.363   4.092
184.373   3.394
184.382   3.425
184.392   2.829
184.402   1.817
184.411   2.016
184.421   1.519
184.431   1.376
184.441   1.003
184.450   1.231
184.460   0.747
184.470   -0.469
184.480   0.118
184.489   0.026
184.499   -0.065
184.509   -0.606
184.518   -0.373
184.528   -0.676
184.538   -1.139
184.548   -1.278
184.557   -1.440
184.567   -1.420
184.577   -1.400
184.586   -1.457
184.596   -1.359
184.606   -1.172
184.616   -2.036
184.625   -1.986
184.635   -1.498
184.645   -2.436
184.655   -2.407
184.664   -1.987
184.674   -1.714
184.684   -2.504
184.693   -2.094
184.703   -2.543
184.713   -2.364
184.723   -1.793
184.732   -2.289
184.742   -2.582
184.752   -2.611
184.761   -2.236
184.771   -2.442
184.781   -1.819
184.791   -1.720
184.800   -2.125
184.810   -1.523
184.820   -2.248
184.830   -1.460
184.839   -1.520
184.849   -0.988
184.859   -0.626
184.868   -0.851
184.878   -0.578
184.888   -0.798
184.898   -0.253
184.907   -0.100
184.917   -0.236
184.927   -0.068
184.937   -0.068
184.946   0.283
184.956   0.300
184.966   0.680
184.975   0.324
184.985   0.321
184.995   0.897
185.005   1.070
185.014   1.293
185.024   1.765
185.034   2.327
185.043   1.961
185.053   2.430
185.063   2.665
185.073   2.795
185.082   3.027
185.092   3.564
185.102   3.174
185.112   3.567
185.121   3.943
185.131   4.236
185.141   4.485
185.150   4.708
185.160   5.016
185.170   5.434
185.180   5.451
185.189   6.099
185.199   6.074
185.209   5.951
185.218   6.324
185.228   6.870
185.238   6.961
185.248   7.588
185.257   7.704
185.267   7.862
185.277   8.088
185.287   8.384
185.296   8.460
185.306   8.857
185.316   8.970
185.325   9.311
185.335   9.466
185.345   9.641
185.355   9.993
185.364   10.217
185.374   10.740
185.384   10.771
185.394   11.154
185.403   10.965
185.413   11.580
185.423   11.414
185.432   12.186
185.442   12.159
185.452   12.273
185.462   12.497
185.471   12.734
185.481   12.521
185.491   13.327
185.500   13.362
185.510   13.684
185.520   13.907
185.530   14.099
185.539   14.081
185.549   14.489
185.559   14.966
185.569   14.884
