3/10/2021 9:56:00 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   48.435
183.118   49.353
183.128   47.831
183.138   47.618
183.147   46.870
183.157   47.252
183.167   47.020
183.177   46.367
183.186   46.237
183.196   46.908
183.206   46.775
183.215   46.343
183.225   44.963
183.235   45.958
183.245   46.150
183.254   46.397
183.264   45.658
183.274   45.094
183.284   44.513
183.293   44.692
183.303   44.236
183.313   44.309
183.322   43.891
183.332   43.958
183.342   42.262
183.352   43.323
183.361   43.098
183.371   41.729
183.381   42.213
183.390   42.952
183.400   42.113
183.410   42.194
183.420   41.837
183.429   42.037
183.439   40.559
183.449   40.906
183.459   40.626
183.468   41.130
183.478   40.270
183.488   40.383
183.497   40.806
183.507   39.827
183.517   40.204
183.527   38.112
183.536   39.380
183.546   39.203
183.556   37.811
183.566   37.972
183.575   38.624
183.585   37.892
183.595   38.134
183.604   37.522
183.614   37.623
183.624   37.063
183.634   37.039
183.643   36.599
183.653   36.228
183.663   36.692
183.672   35.828
183.682   35.372
183.692   35.107
183.702   34.804
183.711   34.889
183.721   34.917
183.731   33.920
183.741   33.590
183.750   33.724
183.760   32.573
183.770   32.866
183.779   32.973
183.789   31.561
183.799   31.860
183.809   31.788
183.818   31.422
183.828   30.720
183.838   30.512
183.847   29.643
183.857   30.099
183.867   30.361
183.877   28.759
183.886   29.274
183.896   29.208
183.906   26.974
183.916   26.988
183.925   26.911
183.935   27.303
183.945   25.834
183.954   25.038
183.964   24.440
183.974   24.802
183.984   24.586
183.993   23.928
184.003   23.268
184.013   22.778
184.023   22.498
184.032   21.070
184.042   21.997
184.052   20.069
184.061   19.879
184.071   19.715
184.081   18.382
184.091   18.718
184.100   18.285
184.110   17.586
184.120   17.826
184.129   16.838
184.139   15.616
184.149   16.020
184.159   14.745
184.168   14.818
184.178   14.196
184.188   12.989
184.198   13.069
184.207   12.742
184.217   11.898
184.227   11.742
184.236   11.533
184.246   10.683
184.256   9.855
184.266   9.016
184.275   8.201
184.285   7.906
184.295   7.403
184.304   6.939
184.314   6.371
184.324   6.518
184.334   5.757
184.343   5.494
184.353   4.803
184.363   3.538
184.373   3.566
184.382   2.268
184.392   2.134
184.402   3.191
184.411   2.191
184.421   1.052
184.431   1.635
184.441   0.231
184.450   0.373
184.460   1.229
184.470   -0.282
184.480   -0.132
184.489   -0.272
184.499   -0.329
184.509   -0.623
184.518   -0.377
184.528   -0.403
184.538   -0.965
184.548   -1.694
184.557   -2.060
184.567   -2.072
184.577   -2.460
184.586   -2.415
184.596   -2.585
184.606   -3.290
184.616   -2.439
184.625   -2.452
184.635   -3.189
184.645   -3.718
184.655   -3.521
184.664   -3.249
184.674   -2.851
184.684   -3.409
184.693   -3.346
184.703   -3.087
184.713   -3.228
184.723   -3.152
184.732   -3.184
184.742   -3.493
184.752   -3.863
184.761   -3.412
184.771   -3.389
184.781   -2.817
184.791   -3.134
184.800   -2.807
184.810   -2.805
184.820   -2.616
184.830   -2.650
184.839   -2.671
184.849   -2.290
184.859   -2.389
184.868   -2.009
184.878   -2.010
184.888   -1.873
184.898   -1.831
184.907   -1.308
184.917   -1.470
184.927   -1.217
184.937   -0.674
184.946   -0.776
184.956   -0.266
184.966   0.021
184.975   -0.160
184.985   0.146
184.995   0.278
185.005   -0.033
185.014   0.168
185.024   0.405
185.034   0.985
185.043   1.366
185.053   1.135
185.063   1.298
