3/10/2021 9:50:08 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   49.919
183.118   48.470
183.128   48.913
183.138   47.537
183.147   49.024
183.157   48.105
183.167   48.763
183.177   47.381
183.186   47.895
183.196   47.612
183.206   46.704
183.215   47.379
183.225   47.143
183.235   46.211
183.245   45.096
183.254   45.747
183.264   45.576
183.274   45.954
183.284   45.804
183.293   45.176
183.303   44.256
183.313   44.650
183.322   43.810
183.332   44.617
183.342   43.858
183.352   44.146
183.361   44.064
183.371   43.133
183.381   43.076
183.390   43.501
183.400   42.722
183.410   43.437
183.420   42.039
183.429   42.350
183.439   41.759
183.449   41.482
183.459   40.717
183.468   40.971
183.478   41.198
183.488   40.457
183.497   40.926
183.507   40.657
183.517   40.255
183.527   40.174
183.536   39.894
183.546   39.621
183.556   38.557
183.566   38.325
183.575   38.145
183.585   38.917
183.595   37.797
183.604   37.546
183.614   37.284
183.624   35.807
183.634   37.357
183.643   36.587
183.653   35.801
183.663   36.053
183.672   35.043
183.682   35.828
183.692   34.379
183.702   35.298
183.711   34.636
183.721   34.412
183.731   32.926
183.741   32.805
183.750   32.342
183.760   33.905
183.770   32.077
183.779   32.912
183.789   32.348
183.799   30.992
183.809   31.039
183.818   30.577
183.828   29.778
183.838   29.306
183.847   30.725
183.857   30.172
183.867   28.490
183.877   27.547
183.886   27.943
183.896   28.279
183.906   27.577
183.916   26.637
183.925   26.052
183.935   25.910
183.945   25.394
183.954   24.955
183.964   24.312
183.974   23.825
183.984   23.362
183.993   22.244
184.003   22.931
184.013   21.973
184.023   22.084
184.032   21.235
184.042   20.593
184.052   20.468
184.061   20.131
184.071   19.732
184.081   19.850
184.091   17.994
184.100   17.818
184.110   17.651
184.120   15.285
184.129   15.620
184.139   15.656
184.149   14.754
184.159   13.653
184.168   14.812
184.178   13.181
184.188   12.899
184.198   11.880
184.207   11.169
184.217   11.827
184.227   10.544
184.236   9.417
184.246   10.132
184.256   9.724
184.266   9.391
184.275   8.219
184.285   7.751
184.295   7.199
184.304   6.353
184.314   6.650
184.324   5.455
184.334   5.426
184.343   4.623
184.353   3.636
184.363   3.945
184.373   4.106
184.382   3.464
184.392   1.931
184.402   0.418
184.411   2.190
184.421   1.504
184.431   1.605
184.441   0.710
184.450   0.984
184.460   -0.213
184.470   0.124
184.480   -0.373
184.489   0.002
184.499   -0.159
184.509   -0.917
184.518   -0.463
184.528   -0.330
184.538   -0.537
184.548   -0.939
184.557   -0.725
184.567   -0.709
184.577   -1.035
184.586   -1.520
184.596   -1.175
184.606   -1.703
184.616   -1.827
184.625   -1.826
184.635   -1.958
184.645   -2.245
184.655   -2.183
184.664   -1.758
184.674   -2.474
184.684   -2.360
184.693   -2.254
184.703   -1.646
184.713   -2.395
184.723   -2.331
184.732   -2.244
184.742   -2.108
184.752   -2.523
184.761   -1.984
184.771   -1.787
184.781   -1.284
184.791   -1.336
184.800   -1.589
184.810   -1.663
184.820   -1.592
184.830   -1.533
184.839   -1.521
184.849   -0.809
184.859   -0.352
184.868   -0.213
184.878   -0.109
184.888   -0.199
184.898   -0.015
184.907   0.049
184.917   0.002
184.927   0.036
184.937   -0.119
184.946   0.025
184.956   0.633
184.966   0.448
184.975   0.626
184.985   0.693
184.995   1.266
185.005   1.345
185.014   1.582
185.024   2.002
185.034   2.380
185.043   2.277
185.053   2.687
185.063   2.780
185.073   3.190
185.082   3.170
185.092   4.011
185.102   3.780
185.112   4.098
185.121   4.361
185.131   4.541
185.141   4.939
185.150   4.406
185.160   5.398
185.170   5.449
185.180   6.051
185.189   6.065
185.199   6.295
185.209   6.425
185.218   6.513
185.228   7.226
185.238   7.216
185.248   7.478
185.257   7.915
185.267   8.227
185.277   7.984
185.287   8.683
185.296   8.842
185.306   8.969
185.316   9.327
185.325   9.488
185.335   9.624
185.345   9.831
185.355   9.924
185.364   10.705
185.374   10.649
185.384   10.751
185.394   11.040
185.403   11.329
185.413   11.970
185.423   11.828
185.432   12.293
185.442   12.724
185.452   12.073
185.462   12.588
185.471   13.079
185.481   13.061
185.491   13.034
185.500   13.435
185.510   13.627
185.520   13.918
185.530   14.262
185.539   14.447
185.549   14.518
185.559   14.842
185.569   15.091
185.578   15.134
185.588   15.536
185.598   15.554
185.607   15.982
185.617   16.373
185.627   16.234
185.637   16.529
185.646   16.848
185.656   16.946
185.666   16.755
185.676   17.510
185.685   17.472
185.695   17.686
185.705   17.838
185.714   17.759
185.724   18.244
185.734   18.734
185.744   18.673
185.753   18.657
185.763   18.698
185.773   19.024
185.782   19.274
185.792   19.272
185.802   19.795
185.812   19.828
185.821   20.103
185.831   20.135
185.841   20.224
185.851   20.491
185.860   20.725
185.870   20.642
185.880   20.832
185.889   20.970
185.899   21.458
185.909   21.351
185.919   21.594
185.928   21.900
185.938   21.825
185.948   21.957
185.957   22.285
185.967   22.271
185.977   22.406
185.987   22.706
185.996   22.820
186.006   22.637
186.016   23.277
186.026   23.179
186.035   23.503
186.045   23.300
186.055   23.827
186.064   24.042
186.074   24.064
186.084   24.122
186.094   24.388
186.103   24.391
186.113   24.647
186.123   24.643
186.133   24.960
186.142   24.820
186.152   25.256
186.162   25.462
186.171   25.585
186.181   25.545
186.191   25.698
186.201   25.757
186.210   26.200
186.220   26.078
186.230   26.305
186.239   26.285
186.249   26.321
186.259   26.661
186.269   26.670
186.278   26.858
186.288   27.048
186.298   27.163
186.308   27.337
186.317   27.532
186.327   27.410
186.337   27.599
186.346   27.676
186.356   27.762
186.366   27.909
186.376   28.109
186.385   28.202
186.395   28.393
186.405   28.488
186.414   28.636
186.424   28.552
186.434   28.716
186.444   28.871
186.453   29.079
186.463   29.236
186.473   29.269
186.483   29.288
186.492   29.476
186.502   29.540
186.512   29.924
186.521   29.808
186.531   29.889
186.541   30.006
186.551   30.182
186.560   30.215
186.570   30.331
186.580   30.446
186.590   30.573
186.599   30.766
186.609   30.726
186.619   31.030
186.628   31.127
186.638   31.051
186.648   31.163
186.658   31.159
186.667   31.228
186.677   31.543
186.687   31.669
186.696   31.523
186.706   31.822
186.716   31.849
186.726   31.850
186.735   32.147
186.745   32.351
186.755   32.354
186.765   32.606
186.774   32.665
186.784   32.772
186.794   32.755
186.803   32.928
186.813   33.061
186.823   33.250
186.833   33.134
186.842   33.315
186.852   33.572
186.862   33.535
186.871   33.762
186.881   33.800
186.891   33.847
186.901   33.881
186.910   34.112
186.920   34.202
186.930   34.303
186.940   34.579
186.949   34.575
186.959   34.813
186.969   34.736
186.978   34.870
186.988   35.047
186.998   35.199
187.008   35.315
187.017   35.371
187.027   35.615
187.037   35.756
187.047   35.730
187.056   35.911
187.066   36.063
187.076   36.190
187.085   36.425
187.095   36.506
187.105   36.651
187.115   36.751
187.124   36.825
187.134   37.084
187.144   37.210
187.153   37.372
187.163   37.484
187.173   37.738
187.183   37.892
187.192   37.895
187.202   38.168
187.212   38.444
187.222   38.548
187.231   38.683
187.241   38.906
187.251   39.139
187.260   39.305
187.270   39.459
187.280   39.704
187.290   39.916
187.299   40.153
187.309   40.400
187.319   40.622
187.328   40.861
187.338   41.080
187.348   41.345
187.358   41.618
187.367   41.910
187.377   42.213
187.387   42.444
187.397   42.700
187.406   43.100
187.416   43.434
187.426   43.733
187.435   44.148
187.445   44.473
187.455   44.858
187.465   45.237
187.474   45.680
187.484   46.131
187.494   46.463
187.504   47.211
187.513   47.354
187.523   48.233
187.533   48.541
187.542   49.244
187.552   49.834
187.562   50.439
187.572   51.173
187.581   51.856
187.591   52.587
187.601   53.344
187.610   54.196
187.620   55.091
187.630   56.034
187.640   57.028
187.649   58.095
187.659   59.229
187.669   60.402
187.679   61.680
187.688   63.045
187.698   64.457
187.708   66.023
187.717   67.673
187.727   69.450
187.737   71.324
187.747   73.364
187.756   75.512
187.766   77.770
187.776   80.216
187.785   82.817
187.795   85.578
187.805   88.539
187.815   91.570
187.824   94.878
187.834   98.277
187.844   101.832
187.854   105.525
187.863   109.364
187.873   113.299
187.883   117.269
187.892   121.312
187.902   125.340
187.912   129.290
187.922   133.198
187.931   136.962
187.941   140.603
187.951   144.048
187.961   147.310
187.970   150.360
187.980   153.182
187.990   155.808
187.999   158.231
188.009   160.476
188.019   162.512
188.029   164.415
188.038   166.165
188.048   167.813
188.058   169.315
188.067   170.718
188.077   172.050
188.087   173.278
188.097   174.350
188.106   175.397
188.116   176.432
188.126   177.328
188.136   178.202
188.145   179.059
188.155   179.820
188.165   -179.536
188.174   -178.887
188.184   -178.180
188.194   -177.548
188.204   -176.957
188.213   -176.442
188.223   -175.893
188.233   -175.412
188.243   -174.931
188.252   -174.470
188.262   -173.995
188.272   -173.588
188.281   -173.212
188.291   -172.787
188.301   -172.456
188.311   -172.098
188.320   -171.778
188.330   -171.396
188.340   -171.143
188.349   -170.848
188.359   -170.583
188.369   -170.249
188.379   -169.966
188.388   -169.717
188.398   -169.506
188.408   -169.232
188.418   -168.947
188.427   -168.810
188.437   -168.523
188.447   -168.309
188.456   -168.167
188.466   -167.893
188.476   -167.667
188.486   -167.465
188.495   -167.296
188.505   -167.146
188.515   -166.853
188.524   -166.884
188.534   -166.545
188.544   -166.504
188.554   -166.411
188.563   -166.147
188.573   -166.002
188.583   -165.946
188.593   -165.686
188.602   -165.556
188.612   -165.477
188.622   -165.330
188.631   -165.205
188.641   -165.074
188.651   -164.967
188.661   -164.772
188.670   -164.763
188.680   -164.473
188.690   -164.468
188.700   -164.158
188.709   -164.206
188.719   -164.053
188.729   -164.104
188.738   -163.892
188.748   -163.767
188.758   -163.503
188.768   -163.493
188.777   -163.414
188.787   -163.241
188.797   -163.318
188.806   -163.212
188.816   -162.977
188.826   -162.983
188.836   -162.887
188.845   -162.836
188.855   -162.645
188.865   -162.555
188.875   -162.410
188.884   -162.416
188.894   -162.260
188.904   -162.309
188.913   -162.072
188.923   -162.099
188.933   -161.995
188.943   -161.851
188.952   -161.644
188.962   -161.718
188.972   -161.561
188.981   -161.541
188.991   -161.476
189.001   -161.314
189.011   -161.366
189.020   -161.180
189.030   -161.246
189.040   -161.143
189.050   -161.046
189.059   -160.903
189.069   -160.950
189.079   -160.868
189.088   -160.728
189.098   -160.746
189.108   -160.598
189.118   -160.654
189.127   -160.359
189.137   -160.580
189.147   -160.406
189.157   -160.254
189.166   -160.141
189.176   -160.184
189.186   -160.097
189.195   -160.021
189.205   -159.751
189.215   -159.827
189.225   -159.766
189.234   -159.586
189.244   -159.794
189.254   -159.734
189.263   -159.503
189.273   -159.458
189.283   -159.228
189.293   -159.340
189.302   -159.298
189.312   -159.373
189.322   -159.430
189.332   -159.142
189.341   -159.165
189.351   -159.009
189.361   -158.996
189.370   -158.830
189.380   -158.853
189.390   -158.779
189.400   -158.957
189.409   -158.447
189.419   -158.576
189.429   -158.426
189.438   -158.402
189.448   -158.481
189.458   -158.513
189.468   -158.217
189.477   -158.228
189.487   -158.194
189.497   -158.488
189.507   -157.947
189.516   -158.152
189.526   -158.094
189.536   -158.023
189.545   -157.912
189.555   -157.769
189.565   -157.999
189.575   -157.946
189.584   -157.924
189.594   -157.512
189.604   -157.915
189.614   -157.874
189.623   -157.466
189.633   -157.580
189.643   -157.326
189.652   -157.419
189.662   -157.327
189.672   -157.438
189.682   -157.207
189.691   -157.154
189.701   -157.125
189.711   -157.133
189.720   -156.793
189.730   -157.281
189.740   -157.173
189.750   -156.976
189.759   -157.032
189.769   -157.000
189.779   -156.738
189.789   -157.077
189.798   -156.685
189.808   -156.649
189.818   -156.656
189.827   -156.917
189.837   -156.629
189.847   -156.668
189.857   -156.753
189.866   -156.656
189.876   -156.632
189.886   -156.735
189.895   -156.519
189.905   -156.513
189.915   -156.502
