3/10/2021 9:57:40 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   47.986
183.118   48.751
183.128   47.940
183.138   46.556
183.147   47.269
183.157   47.575
183.167   46.898
183.177   46.717
183.186   46.592
183.196   45.780
183.206   46.243
183.215   45.601
183.225   45.479
183.235   45.870
183.245   45.402
183.254   45.245
183.264   43.843
183.274   44.654
183.284   44.387
183.293   44.308
183.303   43.908
183.313   43.364
183.322   43.026
183.332   43.727
183.342   43.270
183.352   42.719
183.361   43.202
183.371   42.518
183.381   42.427
183.390   42.396
183.400   43.380
183.410   41.261
183.420   41.534
183.429   41.818
183.439   41.900
183.449   41.186
183.459   41.075
183.468   39.628
183.478   40.676
183.488   39.358
183.497   39.893
183.507   39.541
183.517   40.081
183.527   39.848
183.536   38.232
183.546   38.937
183.556   38.971
183.566   38.554
183.575   38.374
183.585   37.897
183.595   37.940
183.604   37.568
183.614   37.745
183.624   37.032
183.634   35.990
183.643   37.148
183.653   35.549
183.663   36.156
183.672   35.951
183.682   35.253
183.692   34.603
183.702   34.958
183.711   34.244
183.721   33.592
183.731   34.080
183.741   33.267
183.750   33.477
183.760   33.881
183.770   33.051
183.779   32.578
183.789   31.841
183.799   31.906
183.809   30.638
183.818   31.068
183.828   30.966
183.838   30.528
183.847   30.421
183.857   29.739
183.867   28.692
183.877   29.047
183.886   27.934
183.896   28.907
183.906   27.972
183.916   27.025
183.925   26.696
183.935   26.812
183.945   26.131
183.954   25.964
183.964   25.703
183.974   24.807
183.984   24.423
183.993   24.173
184.003   22.728
184.013   23.056
184.023   21.986
184.032   22.342
184.042   22.027
184.052   20.734
184.061   20.280
184.071   20.322
184.081   19.171
184.091   18.841
184.100   18.574
184.110   18.349
184.120   18.115
184.129   17.034
184.139   16.253
184.149   15.970
184.159   15.200
184.168   14.277
184.178   13.558
184.188   14.441
184.198   13.276
184.207   12.439
184.217   11.332
184.227   11.737
184.236   11.330
184.246   10.343
184.256   9.074
184.266   9.352
184.275   8.944
184.285   8.275
184.295   7.951
184.304   7.310
184.314   6.396
184.324   6.601
184.334   4.958
184.343   4.725
184.353   4.346
184.363   4.568
184.373   4.615
184.382   2.796
184.392   3.189
184.402   1.955
184.411   2.174
184.421   1.903
184.431   1.261
184.441   1.105
184.450   0.116
184.460   0.200
184.470   0.831
184.480   -0.125
184.489   -0.390
184.499   0.127
184.509   -0.651
184.518   -0.463
184.528   -1.150
184.538   -1.055
184.548   -1.399
184.557   -1.535
184.567   -2.068
184.577   -1.917
184.586   -2.566
184.596   -2.590
184.606   -3.044
184.616   -3.209
184.625   -3.067
184.635   -3.240
184.645   -3.187
184.655   -3.186
184.664   -3.791
184.674   -3.316
184.684   -3.631
184.693   -3.650
