3/10/2021 9:44:58 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
186.920   36.254
186.930   36.371
186.940   36.609
186.949   36.559
186.959   36.774
186.969   36.870
186.978   36.935
186.988   37.070
186.998   37.195
187.008   37.341
187.017   37.425
187.027   37.451
187.037   37.736
187.047   37.878
187.056   37.849
187.066   38.049
187.076   38.143
187.085   38.326
187.095   38.488
187.105   38.714
187.115   38.757
187.124   38.852
187.134   38.968
187.144   39.167
187.153   39.350
187.163   39.497
187.173   39.682
187.183   39.813
187.192   39.886
187.202   40.125
187.212   40.312
187.222   40.496
187.231   40.629
187.241   40.822
187.251   40.988
187.260   41.197
187.270   41.467
187.280   41.655
187.290   41.792
187.299   41.991
187.309   42.278
187.319   42.502
187.328   42.764
187.338   43.030
187.348   43.161
187.358   43.535
187.367   43.781
187.377   44.100
187.387   44.335
187.397   44.651
187.406   44.984
187.416   45.290
187.426   45.574
187.435   45.947
187.445   46.317
187.455   46.678
187.465   47.156
187.474   47.561
187.484   47.956
187.494   48.593
187.504   48.676
187.513   49.396
187.523   49.774
187.533   50.437
187.542   50.931
187.552   51.542
187.562   52.198
187.572   52.857
187.581   53.513
187.591   54.280
187.601   55.010
187.610   55.834
187.620   56.696
187.630   57.592
187.640   58.603
187.649   59.657
187.659   60.680
187.669   61.906
187.679   63.131
187.688   64.443
187.698   65.831
187.708   67.385
187.717   68.950
187.727   70.655
187.737   72.493
187.747   74.465
187.756   76.551
187.766   78.771
187.776   81.161
187.785   83.714
187.795   86.392
187.805   89.228
187.815   92.205
187.824   95.420
187.834   98.780
187.844   102.285
187.854   105.927
187.863   109.730
187.873   113.592
187.883   117.544
187.892   121.555
187.902   125.571
187.912   129.562
187.922   133.487
187.931   137.332
187.941   141.019
187.951   144.534
187.961   147.853
187.970   150.999
187.980   153.912
187.990   156.624
187.999   159.106
188.009   161.409
188.019   163.549
188.029   165.522
188.038   167.327
188.048   169.006
188.058   170.552
188.067   171.992
188.077   173.318
188.087   174.559
188.097   175.754
188.106   176.792
188.116   177.830
188.126   178.782
188.136   179.636
188.145   -179.576
188.155   -178.800
188.165   -178.028
188.174   -177.343
188.184   -176.686
188.194   -176.036
188.204   -175.415
188.213   -174.890
188.223   -174.378
188.233   -173.847
188.243   -173.343
188.252   -172.919
188.262   -172.433
188.272   -172.009
188.281   -171.586
188.291   -171.240
188.301   -170.891
188.311   -170.502
188.320   -170.239
188.330   -169.803
188.340   -169.519
188.349   -169.162
188.359   -168.886
188.369   -168.652
188.379   -168.336
188.388   -168.133
188.398   -167.928
188.408   -167.550
188.418   -167.409
188.427   -167.141
188.437   -166.864
188.447   -166.707
188.456   -166.541
188.466   -166.303
188.476   -166.114
188.486   -165.919
188.495   -165.693
188.505   -165.505
188.515   -165.375
188.524   -165.213
188.534   -165.038
188.544   -164.930
188.554   -164.765
188.563   -164.615
188.573   -164.566
188.583   -164.325
188.593   -164.142
188.602   -164.099
188.612   -163.877
188.622   -163.704
188.631   -163.519
188.641   -163.506
188.651   -163.296
188.661   -163.233
188.670   -163.084
188.680   -162.996
188.690   -162.947
188.700   -162.767
188.709   -162.559
188.719   -162.589
188.729   -162.503
188.738   -162.444
188.748   -162.128
188.758   -162.117
188.768   -162.071
188.777   -161.995
188.787   -161.845
188.797   -161.724
188.806   -161.541
188.816   -161.569
188.826   -161.436
188.836   -161.307
188.845   -161.203
188.855   -161.105
188.865   -161.146
188.875   -160.999
188.884   -160.851
188.894   -160.983
188.904   -160.800
188.913   -160.692
188.923   -160.540
188.933   -160.497
188.943   -160.550
188.952   -160.192
188.962   -160.235
188.972   -160.132
188.981   -160.119
188.991   -160.113
189.001   -159.953
189.011   -159.880
189.020   -159.666
189.030   -159.881
189.040   -159.537
189.050   -159.646
189.059   -159.571
189.069   -159.488
189.079   -159.319
189.088   -159.291
189.098   -159.207
189.108   -159.095
189.118   -159.127
189.127   -158.999
189.137   -158.996
189.147   -158.890
189.157   -158.915
189.166   -158.667
189.176   -158.708
189.186   -158.550
189.195   -158.474
189.205   -158.433
189.215   -158.304
189.225   -158.290
189.234   -158.182
189.244   -158.326
189.254   -158.023
189.263   -158.129
189.273   -158.180
189.283   -157.919
189.293   -158.084
189.302   -157.852
189.312   -157.817
189.322   -157.745
189.332   -157.533
189.341   -157.687
189.351   -157.549
189.361   -157.590
189.370   -157.675
189.380   -157.523
189.390   -157.200
189.400   -157.434
189.409   -157.097
189.419   -157.199
189.429   -157.136
189.438   -157.077
189.448   -156.848
189.458   -156.916
189.468   -156.913
189.477   -156.733
189.487   -156.846
189.497   -156.959
189.507   -156.695
189.516   -156.605
189.526   -156.536
189.536   -156.513
189.545   -156.685
189.555   -156.499
189.565   -156.252
189.575   -156.391
189.584   -156.147
189.594   -156.393
189.604   -156.493
189.614   -156.147
189.623   -156.235
189.633   -156.075
189.643   -156.118
189.652   -156.029
189.662   -155.949
189.672   -155.946
189.682   -155.964
189.691   -155.925
189.701   -155.853
189.711   -155.785
189.720   -155.790
189.730   -155.548
189.740   -155.468
189.750   -155.646
189.759   -155.456
189.769   -155.424
189.779   -155.383
189.789   -155.211
189.798   -155.224
189.808   -155.298
189.818   -155.038
189.827   -155.278
189.837   -155.162
189.847   -155.299
189.857   -155.337
189.866   -155.146
189.876   -155.035
189.886   -155.346
189.895   -154.872
189.905   -155.192
189.915   -155.037
189.925   -154.981
189.934   -155.043
189.944   -154.663
189.954   -154.962
189.964   -154.932
189.973   -154.780
189.983   -154.930
189.993   -154.724
190.002   -154.720
190.012   -154.585
190.022   -154.911
190.032   -154.559
190.041   -154.765
190.051   -154.601
190.061   -154.798
190.071   -154.550
190.080   -154.672
190.090   -154.493
190.100   -154.722
190.109   -154.515
190.119   -154.594
190.129   -154.505
190.139   -154.545
190.148   -154.734
190.158   -154.662
190.168   -154.560
190.177   -154.661
190.187   -154.594
190.197   -154.440
190.207   -154.781
190.216   -154.240
190.226   -154.707
190.236   -154.706
190.246   -154.471
190.255   -154.567
190.265   -154.545
190.275   -154.471
190.284   -154.828
190.294   -154.568
190.304   -154.434
190.314   -154.931
190.323   -154.817
190.333   -154.661
190.343   -155.045
190.352   -154.800
190.362   -154.814
190.372   -154.548
190.382   -154.748
190.391   -154.983
190.401   -154.607
190.411   -154.565
190.421   -155.104
190.430   -154.470
190.440   -154.593
190.450   -154.828
190.459   -154.606
190.469   -154.652
190.479   -154.801
190.489   -154.950
190.498   -154.767
190.508   -154.854
190.518   -154.651
190.528   -155.013
190.537   -154.864
190.547   -154.818
190.557   -154.942
190.566   -154.762
190.576   -154.885
190.586   -154.654
190.596   -154.764
190.605   -154.941
190.615   -154.904
190.625   -155.325
190.634   -155.056
190.644   -155.559
190.654   -154.322
190.664   -155.361
190.673   -154.794
190.683   -155.363
190.693   -155.006
190.703   -155.603
190.712   -154.607
190.722   -154.973
190.732   -155.171
190.741   -154.888
190.751   -155.305
190.761   -154.867
190.771   -155.154
190.780   -155.010
190.790   -155.100
190.800   -154.726
190.810   -154.905
190.819   -155.287
190.829   -154.895
190.839   -155.153
190.848   -155.034
190.858   -155.142
190.868   -155.017
190.878   -154.932
190.887   -155.143
190.897   -154.809
190.907   -155.380
190.916   -155.327
190.926   -155.110
190.936   -154.763
190.946   -155.074
190.955   -155.018
190.965   -155.040
190.975   -155.010
190.985   -154.980
190.994   -155.177
191.004   -155.177
191.014   -155.174
191.023   -154.839
191.033   -154.762
191.043   -154.826
191.053   -155.245
191.062   -154.948
191.072   -155.385
191.082   -155.074
191.091   -155.125
191.101   -154.597
191.111   -155.158
191.121   -154.850
191.130   -155.159
191.140   -154.759
191.150   -154.820
191.160   -155.176
191.169   -154.896
191.179   -155.148
191.189   -154.881
191.198   -155.234
191.208   -154.815
191.218   -154.832
191.228   -154.904
191.237   -155.154
191.247   -154.977
191.257   -155.314
191.267   -154.965
191.276   -155.045
191.286   -154.592
191.296   -154.944
191.305   -154.889
191.315   -155.406
191.325   -155.257
191.335   -155.397
191.344   -155.294
191.354   -155.409
191.364   -155.024
191.373   -154.912
191.383   -154.659
191.393   -154.721
191.403   -155.157
191.412   -154.582
191.422   -154.721
191.432   -155.120
191.442   -154.837
191.451   -154.950
191.461   -154.887
191.471   -155.206
191.480   -154.533
191.490   -154.663
191.500   -154.976
191.510   -155.008
191.519   -155.185
191.529   -155.179
191.539   -154.566
191.548   -155.156
191.558   -155.017
191.568   -155.373
191.578   -155.017
191.587   -155.025
191.597   -154.858
191.607   -154.836
191.617   -154.864
191.626   -155.001
191.636   -154.820
191.646   -155.065
191.655   -155.127
191.665   -154.526
191.675   -154.834
191.685   -155.050
191.694   -155.000
191.704   -154.786
191.714   -154.733
191.724   -154.603
191.733   -154.360
191.743   -155.220
191.753   -154.850
191.762   -154.609
191.772   -155.155
191.782   -154.302
191.792   -154.973
191.801   -154.763
191.811   -154.804
191.821   -154.379
191.830   -155.467
191.840   -154.851
191.850   -154.914
191.860   -154.874
191.869   -154.924
191.879   -154.970
191.889   -154.282
191.899   -154.961
191.908   -154.228
191.918   -154.941
191.928   -154.930
191.937   -154.926
191.947   -154.428
191.957   -154.556
191.967   -154.944
191.976   -154.440
191.986   -154.286
191.996   -154.617
192.005   -154.788
192.015   -154.509
192.025   -154.487
192.035   -154.701
192.044   -154.752
192.054   -154.946
192.064   -154.436
192.074   -154.634
192.083   -154.738
192.093   -154.629
192.103   -154.477
192.112   -154.559
192.122   -154.339
192.132   -154.644
192.142   -154.412
192.151   -155.022
192.161   -154.284
192.171   -154.403
192.181   -154.751
192.190   -154.605
192.200   -154.869
192.210   -154.378
192.219   -154.692
192.229   -154.718
192.239   -154.656
192.249   -154.595
192.258   -154.645
192.268   -154.319
192.278   -154.437
192.287   -154.118
192.297   -154.086
192.307   -153.924
192.317   -154.214
192.326   -154.333
192.336   -154.392
192.346   -154.952
192.356   -154.432
192.365   -154.415
192.375   -154.018
192.385   -154.146
192.394   -153.995
192.404   -154.211
192.414   -153.939
192.424   -154.141
192.433   -153.897
192.443   -154.050
192.453   -154.285
192.462   -154.051
192.472   -154.237
192.482   -154.151
192.492   -154.075
192.501   -153.716
192.511   -153.964
192.521   -154.428
192.531   -153.640
192.540   -153.909
192.550   -153.934
192.560   -154.359
192.569   -154.034
192.579   -154.158
192.589   -153.680
192.599   -153.433
192.608   -153.789
192.618   -153.920
192.628   -153.319
192.638   -153.199
192.647   -154.113
192.657   -153.664
192.667   -153.984
192.676   -153.519
192.686   -153.726
192.696   -153.779
192.706   -153.475
192.715   -153.622
192.725   -153.294
192.735   -153.860
192.744   -153.347
192.754   -153.697
192.764   -152.870
192.774   -153.086
192.783   -153.581
192.793   -152.913
192.803   -152.890
192.813   -153.405
192.822   -153.127
192.832   -153.268
192.842   -153.320
192.851   -153.169
192.861   -153.041
192.871   -153.068
192.881   -152.994
192.890   -153.188
192.900   -153.027
192.910   -152.532
192.919   -152.983
192.929   -153.058
192.939   -152.655
192.949   -152.994
192.958   -152.884
192.968   -152.678
192.978   -153.041
192.988   -152.349
192.997   -152.007
193.007   -152.587
193.017   -152.279
193.026   -152.550
193.036   -151.773
193.046   -152.089
193.056   -152.531
193.065   -151.490
193.075   -152.189
193.085   -152.327
193.095   -152.382
193.104   -151.880



