3/10/2021 9:58:35 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   46.183
183.118   47.251
183.128   47.011
183.138   46.948
183.147   47.578
183.157   47.148
183.167   45.657
183.177   46.297
183.186   46.966
183.196   46.342
183.206   46.383
183.215   45.756
183.225   45.838
183.235   45.121
183.245   44.994
183.254   44.568
183.264   44.558
183.274   44.068
183.284   44.408
183.293   43.517
183.303   44.080
183.313   43.242
183.322   44.030
183.332   43.639
183.342   43.336
183.352   41.489
183.361   42.424
183.371   42.796
183.381   42.024
183.390   42.362
183.400   41.901
183.410   42.447
183.420   41.445
183.429   41.392
183.439   40.967
183.449   41.088
183.459   40.071
183.468   39.962
183.478   40.669
183.488   40.193
183.497   39.028
183.507   39.654
183.517   39.262
183.527   39.521
183.536   38.447
183.546   38.425
183.556   37.722
183.566   38.503
183.575   38.273
183.585   37.444
183.595   37.751
183.604   37.639
183.614   37.460
183.624   36.900
183.634   37.045
183.643   37.339
183.653   36.196
183.663   35.735
183.672   35.619
183.682   36.127
183.692   34.357
183.702   35.756
183.711   34.124
183.721   34.505
183.731   33.723
183.741   33.828
183.750   33.024
183.760   32.088
183.770   33.167
183.779   32.843
183.789   32.556
183.799   31.852
183.809   30.604
183.818   31.077
183.828   31.462
183.838   31.360
183.847   29.503
183.857   30.033
183.867   30.355
183.877   28.870
183.886   28.137
183.896   28.735
183.906   28.109
183.916   27.889
183.925   26.941
183.935   25.936
183.945   26.649
183.954   26.266
183.964   25.409
183.974   24.458
183.984   23.787
183.993   24.671
184.003   24.254
184.013   22.941
184.023   22.241
184.032   22.415
184.042   21.484
184.052   20.898
184.061   20.736
184.071   20.521
184.081   18.906
184.091   18.922
184.100   18.224
184.110   17.787
184.120   18.064
184.129   17.298
184.139   16.763
184.149   15.870
184.159   15.539
184.168   15.328
184.178   14.621
184.188   13.606
184.198   13.122
184.207   13.705
184.217   12.371
184.227   11.706
184.236   10.530
184.246   10.359
184.256   10.100
184.266   9.683
184.275   9.349
184.285   7.767
184.295   7.383
184.304   6.706
184.314   6.507
184.324   5.783
184.334   6.043
184.343   5.328
184.353   4.065
184.363   3.693
184.373   4.424
184.382   2.778
184.392   2.383
184.402   1.674
184.411   1.793
184.421   1.203
184.431   0.949
184.441   0.984
184.450   0.887
184.460   -0.248
184.470   0.363
184.480   0.502
184.489   -0.199
184.499   -0.457
184.509   -0.841
184.518   -0.870
184.528   -0.541
184.538   -0.980
184.548   -1.539
184.557   -1.598
184.567   -1.972
184.577   -1.869
184.586   -2.500
184.596   -2.637
184.606   -3.090
184.616   -2.648
184.625   -3.186
184.635   -3.144
184.645   -3.506
184.655   -3.178
