3/10/2021 9:48:43 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   52.014
183.118   51.457
183.128   50.517
183.138   50.061
183.147   50.897
183.157   49.959
183.167   49.550
183.177   49.963
183.186   49.267
183.196   50.023
183.206   48.711
183.215   48.968
183.225   48.254
183.235   48.630
183.245   48.253
183.254   48.367
183.264   48.647
183.274   47.250
183.284   47.388
183.293   46.582
183.303   46.329
183.313   46.066
183.322   45.984
183.332   46.079
183.342   46.513
183.352   44.505
183.361   45.219
183.371   45.740
183.381   44.600
183.390   45.523
183.400   44.398
183.410   43.434
183.420   44.436
183.429   43.884
183.439   43.673
183.449   43.734
183.459   43.155
183.468   42.490
183.478   43.332
183.488   42.671
183.497   42.599
183.507   41.564
183.517   41.395
183.527   41.867
183.536   40.898
183.546   40.768
183.556   41.816
183.566   40.530
183.575   40.192
183.585   39.943
183.595   38.602
183.604   39.483
183.614   38.618
183.624   38.550
183.634   38.534
183.643   37.709
183.653   37.710
183.663   37.823
183.672   35.562
183.682   37.314
183.692   36.036
183.702   35.795
183.711   35.237
183.721   35.222
183.731   34.809
183.741   35.682
183.750   34.395
183.760   33.674
183.770   34.107
183.779   33.128
183.789   33.216
183.799   32.930
183.809   32.775
183.818   31.969
183.828   31.601
183.838   31.419
183.847   29.581
183.857   29.879
183.867   30.655
183.877   28.569
183.886   28.573
183.896   29.041
183.906   28.896
183.916   28.321
183.925   28.127
183.935   27.408
183.945   26.428
183.954   26.900
183.964   25.692
183.974   25.555
183.984   25.454
183.993   24.326
184.003   24.109
184.013   23.449
184.023   22.135
184.032   22.173
184.042   20.678
184.052   21.069
184.061   19.984
184.071   20.043
184.081   19.582
184.091   19.161
184.100   19.016
184.110   17.664
184.120   16.808
184.129   16.804
184.139   16.503
184.149   16.326
184.159   15.193
184.168   14.994
184.178   14.368
184.188   14.034
184.198   13.509
184.207   13.984
184.217   12.384
184.227   12.536
184.236   11.530
184.246   10.950
184.256   10.015
184.266   10.589
184.275   9.501
184.285   8.670
184.295   9.308
184.304   7.312
184.314   7.340
184.324   6.356
184.334   6.081
184.343   6.626
184.353   5.715
184.363   4.773
184.373   5.559
184.382   4.012
184.392   4.045
184.402   4.223
184.411   3.295
184.421   1.959
184.431   3.026
184.441   2.506
184.450   2.835
184.460   2.018
184.470   1.475
184.480   0.844
184.489   1.249
184.499   0.127
184.509   0.239
184.518   0.347
184.528   0.121
184.538   0.197
184.548   -0.094
184.557   -0.102
184.567   0.360
184.577   0.060
184.586   0.140
184.596   -0.161
184.606   -0.212
184.616   -0.218
184.625   -0.382
184.635   -0.389
184.645   -0.182
184.655   -0.412
184.664   -0.276
184.674   -0.310
184.684   -0.660
184.693   -0.691
184.703   -0.329
184.713   -0.216
184.723   -0.162
184.732   -0.469
184.742   -0.160
184.752   -0.068
184.761   -0.462
184.771   -0.018
184.781   -0.261
184.791   0.049
184.800   -0.017
184.810   -0.111
184.820   -0.152
184.830   -0.013
184.839   0.255
184.849   0.271
184.859   0.016
184.868   0.490
184.878   0.865
184.888   0.670
184.898   1.210
184.907   1.084
184.917   1.286
184.927   1.318
184.937   1.875
184.946   2.029
184.956   2.316
184.966   2.749
184.975   2.419
184.985   2.948
184.995   3.044
185.005   3.389
185.014   3.538
185.024   3.703
185.034   4.099
185.043   4.479
185.053   4.258
185.063   4.749
185.073   4.972
185.082   4.898
185.092   5.223
185.102   5.836
185.112   6.019
185.121   6.441
185.131   6.707
185.141   6.713
185.150   7.079
185.160   7.385
185.170   7.543
185.180   7.721
185.189   7.966
185.199   8.568
185.209   8.443
185.218   8.575
185.228   8.900
185.238   9.331
185.248   9.368
185.257   9.622
185.267   10.018
185.277   10.362
185.287   10.507
185.296   10.757
185.306   10.740
185.316   11.271
185.325   11.662
185.335   11.697
185.345   11.858
185.355   12.134
185.364   12.503
185.374   12.703
185.384   12.621
185.394   13.117
185.403   13.147
185.413   13.576
185.423   13.841
185.432   13.952
185.442   13.845
185.452   14.141
185.462   14.349
185.471   14.772
185.481   14.892
185.491   14.989
185.500   15.495
185.510   15.688
185.520   15.757
185.530   15.925
185.539   16.691
185.549   16.283
185.559   16.841
185.569   16.939
185.578   16.780
185.588   17.288
185.598   17.217
185.607   17.528
185.617   17.932
185.627   17.854
185.637   18.200
185.646   18.240
185.656   18.639
185.666   18.802
185.676   18.898
185.685   19.318
185.695   19.126
185.705   19.507
185.714   19.921
185.724   19.755
185.734   20.028
185.744   20.204
185.753   20.164
185.763   20.590
185.773   20.756
185.782   20.914
185.792   21.121
185.802   21.365
185.812   21.513
185.821   21.544
185.831   21.700
185.841   21.906
185.851   22.040
185.860   22.087
185.870   22.418
185.880   22.528
185.889   22.738
185.899   23.046
185.909   23.111
185.919   23.366
185.928   23.424
185.938   23.677
185.948   23.628
185.957   23.911
185.967   24.078
185.977   24.086
185.987   24.417
185.996   24.507
186.006   24.575
186.016   24.832
186.026   24.730
186.035   25.241
186.045   25.291
186.055   25.466
186.064   25.581
186.074   25.768
186.084   25.863
186.094   26.082
186.103   26.254
186.113   26.226
186.123   26.244
186.133   26.428
186.142   26.719
186.152   26.727
186.162   26.841
186.171   27.032
186.181   27.272
186.191   27.490
186.201   27.556
186.210   27.559
186.220   27.653
186.230   27.900
186.239   28.003
186.249   28.153
186.259   28.343
186.269   28.323
186.278   28.498
186.288   28.631
186.298   28.861
186.308   28.972
186.317   29.099
186.327   29.283
186.337   29.286
186.346   29.368
186.356   29.520
186.366   29.674
186.376   29.801
186.385   29.870
186.395   30.058
186.405   30.008
186.414   30.141
186.424   30.336
186.434   30.344
186.444   30.619
186.453   30.694
186.463   30.948
186.473   30.919
186.483   30.969
186.492   31.157
186.502   31.209
186.512   31.246
186.521   31.433
186.531   31.542
186.541   31.848
186.551   31.892
186.560   31.919
186.570   31.962
186.580   32.040
186.590   32.265
186.599   32.334
186.609   32.381
186.619   32.522
186.628   32.659
186.638   32.622
186.648   32.866
186.658   32.931
186.667   33.140
186.677   33.124
186.687   33.339
186.696   33.532
186.706   33.691
186.716   33.575
186.726   33.801
186.735   33.883
186.745   33.873
186.755   33.947
186.765   34.042
186.774   34.219
186.784   34.504
186.794   34.436
186.803   34.604
186.813   34.693
186.823   34.800
186.833   34.858
186.842   34.877
186.852   35.029
186.862   35.227
186.871   35.372
186.881   35.470
186.891   35.498
186.901   35.638
186.910   35.718
186.920   35.823
186.930   36.085
186.940   36.181
186.949   36.209
186.959   36.343
186.969   36.487
186.978   36.489
186.988   36.783
186.998   36.787
187.008   36.924
187.017   37.071
187.027   37.184
187.037   37.299
187.047   37.553
187.056   37.779
187.066   37.682
187.076   37.870
187.085   37.959
187.095   38.121
187.105   38.278
187.115   38.442
187.124   38.432
187.134   38.667
187.144   38.921
187.153   38.939
187.163   39.133
187.173   39.267
187.183   39.569
187.192   39.547
187.202   39.774
187.212   40.022
187.222   40.116
187.231   40.374
187.241   40.523
187.251   40.774
187.260   40.930
187.270   41.126
187.280   41.296
187.290   41.506
187.299   41.719
187.309   41.961
187.319   42.290
187.328   42.472
187.338   42.694
187.348   42.974
187.358   43.191
187.367   43.443
187.377   43.788
187.387   44.141
187.397   44.391
187.406   44.694
187.416   44.985
187.426   45.422
187.435   45.759
187.445   46.107
187.455   46.500
187.465   46.898
187.474   47.181
187.484   47.581
187.494   47.982
187.504   48.435
187.513   49.527
187.523   49.538
187.533   50.287
187.542   50.784
187.552   51.397
187.562   52.044
187.572   52.708
187.581   53.399
187.591   54.169
187.601   54.883
187.610   55.790
187.620   56.636
187.630   57.611
187.640   58.551
187.649   59.638
187.659   60.746
187.669   61.965
187.679   63.206
187.688   64.557
187.698   65.989
187.708   67.556
