3/10/2021 9:52:04 AM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
183.109   49.371
183.118   48.554
183.128   48.520
183.138   48.481
183.147   48.655
183.157   48.200
183.167   47.730
183.177   47.719
183.186   48.492
183.196   46.465
183.206   47.008
183.215   46.496
183.225   45.329
183.235   46.462
183.245   45.813
183.254   44.118
183.264   46.223
183.274   44.405
183.284   44.435
183.293   45.348
183.303   44.516
183.313   44.954
183.322   43.686
183.332   43.880
183.342   43.726
183.352   43.682
183.361   43.612
183.371   43.216
183.381   42.776
183.390   42.496
183.400   43.342
183.410   42.734
183.420   42.780
183.429   41.400
183.439   41.024
183.449   41.452
183.459   41.494
183.468   40.735
183.478   41.190
183.488   40.739
183.497   38.171
183.507   39.751
183.517   40.332
183.527   40.014
183.536   39.535
183.546   39.564
183.556   38.142
183.566   38.486
183.575   39.121
183.585   38.241
183.595   37.967
183.604   38.441
183.614   37.495
183.624   36.931
183.634   37.695
183.643   36.575
183.653   35.170
183.663   35.151
183.672   34.867
183.682   35.924
183.692   35.415
183.702   34.155
183.711   35.027
183.721   34.000
183.731   33.214
183.741   32.359
183.750   32.880
183.760   33.258
183.770   32.594
183.779   31.714
183.789   32.119
183.799   31.618
183.809   31.600
183.818   31.594
183.828   30.083
183.838   30.768
183.847   29.731
183.857   28.884
183.867   29.143
183.877   28.325
183.886   28.020
183.896   27.635
183.906   26.653
183.916   27.059
183.925   25.819
183.935   25.485
183.945   25.707
183.954   25.876
183.964   24.645
183.974   25.040
183.984   24.130
183.993   23.135
184.003   22.432
184.013   21.053
184.023   21.980
184.032   21.808
184.042   20.658
184.052   20.861
184.061   19.822
184.071   19.364
184.081   19.623
184.091   18.881
184.100   17.395
184.110   17.762
184.120   17.659
184.129   15.709
184.139   15.472
184.149   14.806
184.159   14.988
184.168   13.860
184.178   15.096
184.188   12.471
184.198   12.124
184.207   11.907
184.217   10.946
184.227   10.405
184.236   9.747
184.246   10.413
184.256   9.439
184.266   8.573
184.275   9.017
184.285   8.650
184.295   7.180
184.304   6.711
184.314   6.611
184.324   5.654
184.334   5.016
184.343   4.061
184.353   3.803
184.363   4.574
184.373   3.155
184.382   3.292
184.392   1.960
184.402   0.711
184.411   2.309
184.421   0.961
184.431   1.140
184.441   0.287
184.450   0.000
184.460   -0.486
184.470   0.627
184.480   -0.078
184.489   -0.038
184.499   -0.011
184.509   -0.174
184.518   -1.670
184.528   -0.790
184.538   -1.247
184.548   -1.279
184.557   -0.947
184.567   -1.186
184.577   -1.509
184.586   -1.772
184.596   -2.199
184.606   -2.408
184.616   -1.841
184.625   -2.202
184.635   -2.845
184.645   -2.405
184.655   -2.903
184.664   -2.693
184.674   -2.921
184.684   -2.733
184.693   -2.335
184.703   -2.310
184.713   -3.063
184.723   -2.914
184.732   -2.827
184.742   -2.712
184.752   -2.430
184.761   -2.687
184.771   -2.713
184.781   -2.853
184.791   -2.039
184.800   -1.881
184.810   -2.218
184.820   -1.578
184.830   -1.739
184.839   -2.236
184.849   -1.742
184.859   -1.778
184.868   -1.410
184.878   -1.453
184.888   -0.847
184.898   -0.711
184.907   -0.592
184.917   -0.366
184.927   -0.224
184.937   -0.092
184.946   -0.135
184.956   -0.009
184.966   0.481
184.975   0.068
184.985   0.400
184.995   0.698
185.005   0.587
185.014   0.902
185.024   1.019
185.034   1.533
185.043   1.745
185.053   2.034
185.063   2.103
185.073   2.455
185.082   2.834
185.092   2.883
185.102   3.073
185.112   3.741
185.121   3.917
