3/12/2021 4:57:56 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
186.734   91.560
186.744   91.466
186.753   91.343
186.763   91.319
186.773   91.316
186.782   91.074
186.792   91.139
186.802   91.067
186.812   90.911
186.821   90.951
186.831   90.865
186.841   90.751
186.851   90.664
186.860   90.604
186.870   90.465
186.880   90.506
186.889   90.414
186.899   90.326
186.909   90.334
186.919   90.250
186.928   90.234
186.938   90.149
186.948   90.082
186.957   90.037
186.967   90.014
186.977   89.997
186.987   89.989
186.996   90.008
187.006   89.972
187.016   89.962
187.026   89.998
187.035   89.970
187.045   89.987
187.055   89.994
187.064   89.999
187.074   89.961
187.084   90.018
187.094   90.003
187.103   90.015
187.113   90.010
187.123   90.141
187.132   90.234
187.142   90.318
187.152   90.402
187.162   90.503
187.171   90.594
187.181   90.733
187.191   90.919
187.201   91.043
187.210   91.235
187.220   91.372
187.230   91.570
187.239   91.818
187.249   92.068
187.259   92.313
187.269   92.488
187.278   92.799
187.288   93.100
187.298   93.404
187.308   93.793
187.317   94.140
187.327   94.533
187.337   94.877
187.346   95.302
187.356   95.764
187.366   96.179
187.376   96.702
187.385   97.232
187.395   97.823
187.405   98.368
187.414   99.042
187.424   99.687
187.434   100.409
187.444   101.113
187.453   101.888
187.463   102.765
187.473   103.625
187.483   104.549
187.492   105.394
187.502   106.531
187.512   107.789
187.521   108.625
187.531   109.933
187.541   111.163
187.551   112.447
187.560   113.916
187.570   115.415
187.580   116.935
187.589   118.560
187.599   120.292
187.609   122.074
187.619   123.968
187.628   125.936
187.638   128.016
187.648   130.144
187.658   132.397
187.667   134.732
187.677   137.109
187.687   139.611
187.696   142.133
187.706   144.766
187.716   147.449
187.726   150.154
187.735   152.898
187.745   155.637
187.755   158.393
187.765   161.156
187.774   163.872
187.784   166.569
187.794   169.219
187.803   171.806
187.813   174.324
187.823   176.768
187.833   179.091
187.842   -178.676
187.852   -176.513
187.862   -174.418
187.871   -172.439
187.881   -170.529
187.891   -168.748
187.901   -167.029
187.910   -165.414
187.920   -163.846
187.930   -162.367
187.940   -160.979
187.949   -159.666
187.959   -158.405
187.969   -157.222
187.978   -156.094
187.988   -155.018
187.998   -153.989
188.008   -153.003
188.017   -152.072
188.027   -151.189
188.037   -150.364
188.047   -149.539
188.056   -148.793
188.066   -148.045
188.076   -147.346
188.085   -146.647
188.095   -146.059
188.105   -145.416
188.115   -144.816
188.124   -144.274
188.134   -143.749
188.144   -143.235
188.153   -142.724
188.163   -142.224
188.173   -141.799
188.183   -141.327
188.192   -140.945
188.202   -140.486
188.212   -140.148
188.222   -139.744
188.231   -139.382
188.241   -139.001
188.251   -138.664
188.260   -138.401
188.270   -138.099
188.280   -137.724
188.290   -137.423
188.299   -137.180
188.309   -136.913
188.319   -136.589
188.328   -136.339
188.338   -136.115
188.348   -135.857
188.358   -135.657
188.367   -135.378
188.377   -135.195
188.387   -134.937
188.397   -134.802
188.406   -134.539
188.416   -134.359
188.426   -134.154
188.435   -133.954
188.445   -133.765
188.455   -133.582
188.465   -133.474
188.474   -133.226
188.484   -133.064
188.494   -132.896
188.504   -132.708
188.513   -132.551
188.523   -132.420
188.533   -132.234
188.542   -132.090
188.552   -131.896
188.562   -131.785
188.572   -131.600
188.581   -131.520
188.591   -131.399
188.601   -131.265
188.610   -131.025
188.620   -130.958
188.630   -130.810
188.640   -130.658
188.649   -130.553
188.659   -130.427
188.669   -130.277
188.679   -130.206
188.688   -130.061
188.698   -129.941
188.708   -129.799
188.717   -129.691
188.727   -129.564
188.737   -129.401
188.747   -129.377
188.756   -129.107
188.766   -129.016
188.776   -128.898
188.785   -128.842
188.795   -128.756
188.805   -128.605
188.815   -128.456
188.824   -128.339
188.834   -128.207
188.844   -128.110
188.854   -127.974
188.863   -127.920
188.873   -127.778
188.883   -127.615
188.892   -127.534
188.902   -127.453
188.912   -127.329
188.922   -127.166
188.931   -127.054
188.941   -126.874
188.951   -126.814
188.961   -126.685
188.970   -126.565
188.980   -126.488
188.990   -126.295
188.999   -126.183
189.009   -126.075
189.019   -125.890
189.029   -125.821
189.038   -125.720
189.048   -125.602
189.058   -125.436
189.067   -125.426
189.077   -125.203
189.087   -125.028
189.097   -124.954
189.106   -124.846
189.116   -124.703
189.126   -124.587
189.136   -124.408
189.145   -124.303
189.155   -124.170
189.165   -123.986
