3/12/2021 4:29:56 PM
Series 1
-----------------------------------------------
Frequency (kHz)	Degrees (°)
186.734   96.680
186.744   96.801
186.753   96.711
186.763   96.749
186.773   96.701
186.782   96.753
186.792   96.576
186.802   96.683
186.812   96.534
186.821   96.718
186.831   96.626
186.841   96.392
186.851   96.457
186.860   96.496
186.870   96.387
186.880   96.402
186.889   96.485
186.899   96.369
186.909   96.336
186.919   96.279
186.928   96.162
186.938   96.264
186.948   96.172
186.957   96.036
186.967   96.097
186.977   96.067
186.987   96.030
186.996   95.949
187.006   95.942
187.016   95.892
187.026   95.914
187.035   95.835
187.045   95.852
187.055   95.789
187.064   95.730
187.074   95.681
187.084   95.762
187.094   95.733
187.103   95.764
187.113   95.771
187.123   95.751
187.132   95.724
187.142   95.801
187.152   95.813
187.162   95.782
187.171   95.834
187.181   95.895
187.191   95.974
187.201   96.026
187.210   96.072
187.220   96.154
187.230   96.270
187.239   96.352
187.249   96.449
187.259   96.608
187.269   96.740
187.278   96.850
187.288   96.983
187.298   97.182
187.308   97.375
187.317   97.658
187.327   97.870
187.337   98.065
187.346   98.347
187.356   98.640
187.366   98.954
187.376   99.249
187.385   99.591
187.395   99.952
187.405   100.378
187.414   100.853
187.424   101.270
187.434   101.778
187.444   102.257
187.453   102.868
187.463   103.506
187.473   104.147
187.483   104.817
187.492   105.436
187.502   106.316
187.512   107.308
187.521   107.864
187.531   108.916
187.541   109.802
187.551   110.845
187.560   111.963
187.570   113.121
187.580   114.368
187.589   115.663
187.599   117.054
187.609   118.500
187.619   120.027
187.628   121.691
187.638   123.380
187.648   125.195
187.658   127.081
187.667   129.078
187.677   131.165
187.687   133.361
187.696   135.665
187.706   138.041
187.716   140.515
187.726   143.055
187.735   145.717
187.745   148.412
187.755   151.191
187.765   154.016
187.774   156.857
187.784   159.736
187.794   162.628
187.803   165.479
187.813   168.308
187.823   171.090
187.833   173.799
187.842   176.477
187.852   179.052
187.862   -178.478
187.871   -176.043
187.881   -173.755
187.891   -171.541
187.901   -169.446
187.910   -167.441
187.920   -165.534
187.930   -163.751
187.940   -162.018
187.949   -160.409
187.959   -158.884
187.969   -157.421
187.978   -156.099
187.988   -154.775
187.998   -153.571
188.008   -152.416
188.017   -151.303
188.027   -150.269
188.037   -149.303
188.047   -148.343
188.056   -147.464
188.066   -146.614
188.076   -145.816
188.085   -145.033
188.095   -144.307
188.105   -143.612
188.115   -142.933
188.124   -142.303
188.134   -141.668
188.144   -141.109
188.153   -140.548
188.163   -140.027
188.173   -139.509
188.183   -138.992
188.192   -138.539
188.202   -138.076
188.212   -137.638
188.222   -137.229
188.231   -136.825
188.241   -136.466
188.251   -136.076
188.260   -135.702
188.270   -135.352
188.280   -135.034
188.290   -134.666
188.299   -134.401
188.309   -134.063
188.319   -133.788
188.328   -133.512
188.338   -133.218
188.348   -132.954
188.358   -132.729
188.367   -132.446
188.377   -132.217
188.387   -131.988
188.397   -131.692
188.406   -131.502
188.416   -131.354
188.426   -131.082
188.435   -130.871
188.445   -130.670
188.455   -130.458
188.465   -130.267
188.474   -130.097
188.484   -129.952
188.494   -129.705
188.504   -129.581
188.513   -129.389
188.523   -129.247
188.533   -129.004
188.542   -128.863
188.552   -128.682
188.562   -128.495
188.572   -128.385
188.581   -128.223
188.591   -128.068
188.601   -127.904
188.610   -127.747
188.620   -127.578
188.630   -127.419
188.640   -127.333
188.649   -127.182
188.659   -127.005
188.669   -126.864
188.679   -126.713
